timestamp,symbol,action,quantity,price,value,reason
2026-05-17T23:09:53+00:00,INTC,BUY,18.387400,108.7700,2000.00,rebalance_rank_1
2026-05-17T23:09:53+00:00,AMD,BUY,4.715900,424.1000,2000.01,rebalance_rank_2
2026-05-17T23:09:53+00:00,EOG,BUY,14.259200,140.2600,2000.00,rebalance_rank_3
2026-05-17T23:09:53+00:00,CAT,BUY,2.251500,888.3100,2000.03,rebalance_rank_4
2026-05-17T23:09:53+00:00,COP,BUY,16.338200,122.4100,1999.96,rebalance_rank_5
2026-05-30T07:49:15+00:00,COP,SELL,16.338200,113.9800,1862.23,exit_below_100ma
2026-06-03T23:16:39+00:00,EOG,SELL,14.259200,141.5000,2017.68,rebalance_exit
2026-06-03T23:16:39+00:00,UNH,BUY,5.621300,377.0000,2119.23,rebalance_rank_3
2026-06-03T23:16:39+00:00,ORCL,BUY,7.644200,230.3300,1760.69,rebalance_rank_5
2026-06-11T23:03:08+00:00,ORCL,SELL,7.644200,184.1000,1407.30,hard_stop 20.1%
2026-06-17T22:55:29+00:00,ORCL,BUY,7.667900,183.5300,1407.29,rebalance_rank_4
2026-06-23T22:44:02+00:00,ORCL,SELL,7.667900,165.1600,1266.43,exit_below_100ma
2026-06-24T22:47:33+00:00,TSM,BUY,2.872800,440.8300,1266.42,rebalance_rank_5
2026-07-01T22:45:26+00:00,TSM,SELL,2.872800,444.2300,1276.18,rebalance_exit
2026-07-01T22:45:26+00:00,ASML,BUY,0.692400,1843.0400,1276.12,rebalance_rank_5
2026-07-15T22:27:18+00:00,INTC,BUY,0.000700,102.9900,0.07,rebalance_rank_2
2026-07-22T22:31:53+00:00,CAT,SELL,2.251500,889.3100,2002.28,rebalance_exit
2026-07-22T22:31:53+00:00,INTC,BUY,1.425100,102.6200,146.24,rebalance_rank_2
2026-07-22T22:31:53+00:00,LLY,BUY,1.595900,1163.0100,1856.05,rebalance_rank_5
